EmployeeNumber,Age,DistanceFromHome,EducationField,Education,Gender,JobLevel,JobRole,MaritalStatus,Department
1107,27,23,Medical,3,Male,1,Laboratory Technician,Divorced,Research & Development
1108,34,27,Medical,3,Male,1,Research Scientist,Single,Research & Development
1109,43,4,Medical,2,Male,4,Manager,Married,Research & Development
1111,29,3,Medical,3,Male,1,Laboratory Technician,Divorced,Research & Development
1113,51,3,Other,4,Male,2,Sales Executive,Single,Sales
1114,34,9,Life Sciences,3,Female,2,Sales Executive,Married,Sales
1115,35,5,Life Sciences,4,Male,1,Research Scientist,Married,Research & Development
1116,49,3,Medical,4,Male,4,Manager,Single,Research & Development
1117,46,11,Life Sciences,4,Female,2,Sales Executive,Married,Sales
1118,53,9,Life Sciences,4,Male,3,Healthcare Representative,Single,Research & Development
1119,39,12,Marketing,4,Male,3,Sales Executive,Divorced,Sales
1120,30,30,Life Sciences,4,Female,1,Research Scientist,Divorced,Research & Development
1121,29,5,Medical,3,Female,3,Manufacturing Director,Divorced,Research & Development
1124,47,5,Marketing,1,Male,4,Manager,Married,Sales
1125,39,4,Marketing,2,Male,3,Sales Executive,Single,Sales
1126,44,29,Life Sciences,3,Female,3,Manufacturing Director,Married,Research & Development
1127,40,4,Life Sciences,3,Male,4,Healthcare Representative,Divorced,Research & Development
1128,41,16,Medical,3,Male,5,Research Director,Single,Research & Development
1131,22,3,Technical Degree,1,Female,1,Research Scientist,Single,Research & Development
1132,40,11,Life Sciences,3,Male,2,Laboratory Technician,Single,Research & Development
1133,37,20,Life Sciences,4,Male,2,Manufacturing Director,Single,Research & Development
1135,32,22,Life Sciences,3,Male,1,Sales Representative,Married,Sales
1136,29,4,Life Sciences,1,Male,1,Research Scientist,Married,Research & Development
1137,36,13,Marketing,2,Male,2,Sales Executive,Divorced,Sales
1138,50,10,Technical Degree,4,Male,4,Sales Executive,Married,Sales
1140,35,4,Life Sciences,2,Male,2,Manufacturing Director,Single,Research & Development
1143,30,12,Life Sciences,3,Female,1,Research Scientist,Divorced,Research & Development
1148,43,31,Medical,3,Male,2,Laboratory Technician,Single,Research & Development
1150,30,10,Medical,1,Male,2,Manufacturing Director,Married,Research & Development
1152,39,3,Human Resources,3,Male,1,Human Resources,Married,Human Resources
1154,29,8,Life Sciences,3,Male,1,Research Scientist,Divorced,Research & Development
1156,19,10,Medical,1,Male,1,Laboratory Technician,Single,Research & Development
1157,34,11,Marketing,4,Female,2,Sales Executive,Single,Sales
1158,42,14,Life Sciences,4,Male,1,Laboratory Technician,Married,Research & Development
1160,32,17,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
1161,38,27,Medical,2,Female,2,Healthcare Representative,Divorced,Research & Development
1162,28,8,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
1163,35,11,Life Sciences,1,Female,2,Sales Executive,Married,Sales
1164,36,10,Technical Degree,4,Male,1,Human Resources,Single,Human Resources
1165,30,25,Life Sciences,1,Female,3,Sales Executive,Married,Sales
1166,41,11,Medical,4,Female,3,Research Director,Single,Research & Development
1167,43,14,Life Sciences,3,Male,4,Sales Executive,Single,Sales
1171,43,6,Marketing,4,Male,2,Sales Executive,Single,Sales
1172,36,3,Medical,4,Male,1,Laboratory Technician,Married,Research & Development
1173,25,26,Medical,3,Male,1,Laboratory Technician,Single,Research & Development
1175,29,14,Life Sciences,1,Female,1,Laboratory Technician,Married,Research & Development
1177,27,5,Medical,4,Male,1,Laboratory Technician,Married,Research & Development
1179,31,12,Marketing,3,Male,2,Sales Executive,Married,Sales
1180,41,28,Medical,2,Female,2,Research Scientist,Married,Research & Development
1182,36,4,Life Sciences,3,Male,3,Manufacturing Director,Divorced,Research & Development
1184,35,3,Medical,3,Male,2,Healthcare Representative,Single,Research & Development
1185,36,6,Other,4,Male,1,Laboratory Technician,Married,Research & Development
1188,44,11,Marketing,3,Female,2,Sales Executive,Single,Sales
1190,33,4,Life Sciences,1,Female,1,Sales Representative,Divorced,Sales
1191,57,6,Technical Degree,4,Female,5,Manager,Divorced,Research & Development
1192,30,8,Medical,1,Female,1,Laboratory Technician,Married,Research & Development
1193,20,11,Life Sciences,2,Male,1,Research Scientist,Single,Research & Development
1195,46,9,Medical,3,Female,1,Research Scientist,Married,Research & Development
1196,38,3,Life Sciences,3,Female,2,Manufacturing Director,Married,Research & Development
1198,21,5,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
1200,45,12,Life Sciences,4,Male,1,Research Scientist,Single,Research & Development
1201,54,9,Medical,2,Female,5,Manager,Divorced,Research & Development
1202,30,17,Life Sciences,1,Female,1,Research Scientist,Married,Research & Development
1203,23,5,Life Sciences,4,Male,1,Research Scientist,Married,Research & Development
1204,47,4,Marketing,3,Female,4,Manager,Married,Sales
1206,45,19,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
1207,34,4,Human Resources,3,Male,1,Human Resources,Married,Human Resources
1210,42,7,Life Sciences,2,Male,1,Research Scientist,Divorced,Research & Development
1211,31,31,Life Sciences,4,Male,2,Sales Executive,Divorced,Sales
1212,41,4,Medical,4,Male,2,Sales Executive,Married,Sales
1215,51,4,Medical,3,Female,4,Manager,Married,Research & Development
1216,29,21,Medical,4,Male,1,Laboratory Technician,Married,Research & Development
1217,47,17,Life Sciences,2,Male,5,Research Director,Married,Research & Development
1218,36,19,Life Sciences,4,Male,2,Sales Executive,Married,Sales
1219,25,19,Life Sciences,2,Female,1,Laboratory Technician,Married,Research & Development
1220,34,27,Medical,3,Female,2,Sales Executive,Married,Sales
1221,37,8,Life Sciences,4,Male,1,Laboratory Technician,Divorced,Research & Development
1224,31,9,Life Sciences,4,Male,2,Laboratory Technician,Divorced,Research & Development
1225,45,31,Other,4,Male,2,Research Scientist,Single,Research & Development
1226,21,23,Marketing,3,Male,1,Sales Representative,Single,Sales
1228,47,4,Technical Degree,4,Male,2,Manufacturing Director,Divorced,Research & Development
1231,43,4,Medical,5,Male,2,Human Resources,Married,Human Resources
1233,61,9,Marketing,4,Male,2,Sales Executive,Divorced,Sales
1234,33,15,Other,3,Female,1,Laboratory Technician,Married,Research & Development
1235,33,4,Life Sciences,2,Female,2,Research Scientist,Single,Research & Development
1237,37,3,Technical Degree,3,Female,3,Manufacturing Director,Divorced,Research & Development
1238,34,11,Medical,3,Male,1,Research Scientist,Married,Research & Development
1239,41,12,Technical Degree,3,Female,2,Sales Executive,Divorced,Sales
1240,26,12,Life Sciences,4,Male,2,Sales Executive,Single,Sales
1241,31,3,Medical,3,Male,1,Research Scientist,Married,Research & Development
1242,43,28,Medical,5,Female,3,Research Director,Married,Research & Development
1243,36,10,Marketing,2,Female,3,Sales Executive,Married,Sales
1244,28,16,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
1245,55,3,Life Sciences,4,Female,3,Manufacturing Director,Divorced,Research & Development
1246,45,4,Life Sciences,1,Female,1,Research Scientist,Married,Research & Development
1248,20,12,Medical,3,Female,1,Research Scientist,Single,Research & Development
1249,30,3,Life Sciences,3,Female,1,Research Scientist,Divorced,Research & Development
1250,55,5,Life Sciences,3,Male,4,Research Director,Married,Research & Development
1251,32,13,Medical,2,Male,2,Healthcare Representative,Married,Research & Development
1252,32,26,Medical,3,Female,2,Healthcare Representative,Single,Research & Development
1254,60,5,Life Sciences,3,Female,2,Sales Executive,Single,Sales
1255,44,5,Life Sciences,3,Male,5,Research Director,Married,Research & Development
1256,50,6,Medical,2,Male,5,Manager,Married,Research & Development
1257,37,5,Technical Degree,3,Male,1,Research Scientist,Married,Research & Development
1258,49,4,Technical Degree,2,Male,1,Laboratory Technician,Single,Research & Development
1259,28,6,Life Sciences,2,Male,1,Research Scientist,Divorced,Research & Development
1260,30,9,Life Sciences,3,Male,2,Healthcare Representative,Divorced,Research & Development
1263,49,3,Life Sciences,3,Male,5,Research Director,Single,Research & Development
1264,30,3,Life Sciences,3,Female,4,Research Director,Divorced,Research & Development
1265,35,22,Technical Degree,3,Female,1,Research Scientist,Married,Research & Development
1267,45,7,Marketing,3,Male,5,Manager,Married,Sales
1268,34,12,Marketing,5,Male,3,Sales Executive,Divorced,Sales
1269,20,27,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
1270,24,3,Life Sciences,2,Male,1,Research Scientist,Married,Research & Development
1273,26,26,Life Sciences,1,Male,1,Sales Representative,Single,Sales
1275,27,6,Life Sciences,2,Male,1,Research Scientist,Single,Research & Development
1277,46,4,Marketing,3,Female,5,Manager,Single,Sales
1278,56,10,Medical,1,Male,4,Healthcare Representative,Divorced,Research & Development
1279,22,12,Life Sciences,2,Female,1,Laboratory Technician,Single,Research & Development
1280,47,6,Marketing,2,Female,5,Manager,Married,Sales
1281,35,4,Marketing,3,Female,2,Sales Executive,Single,Sales
1282,52,11,Life Sciences,3,Male,5,Manager,Divorced,Sales
1283,60,20,Medical,4,Male,3,Manufacturing Director,Single,Research & Development
1285,35,21,Medical,3,Female,2,Laboratory Technician,Divorced,Research & Development
1286,29,3,Medical,4,Male,1,Laboratory Technician,Single,Research & Development
1288,45,6,Life Sciences,2,Male,5,Manager,Divorced,Research & Development
1289,35,13,Life Sciences,3,Male,2,Human Resources,Married,Human Resources
1291,36,8,Life Sciences,1,Male,1,Research Scientist,Married,Research & Development
1292,43,9,Medical,4,Female,2,Research Scientist,Married,Research & Development
1293,44,6,Marketing,4,Female,3,Sales Executive,Single,Sales
1294,37,4,Life Sciences,4,Female,2,Manufacturing Director,Single,Research & Development
1295,45,17,Medical,3,Female,3,Healthcare Representative,Married,Research & Development
1296,29,4,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
1297,52,8,Medical,2,Female,1,Laboratory Technician,Single,Research & Development
1298,31,11,Medical,2,Female,2,Manufacturing Director,Single,Research & Development
1299,30,9,Technical Degree,3,Female,1,Laboratory Technician,Divorced,Research & Development
1301,29,3,Technical Degree,3,Male,1,Research Scientist,Single,Research & Development
1303,26,3,Medical,3,Female,1,Research Scientist,Single,Research & Development
1304,33,10,Medical,3,Male,2,Sales Executive,Married,Sales
1306,46,27,Medical,3,Female,5,Manager,Single,Research & Development
1307,40,15,Medical,4,Female,4,Manager,Divorced,Research & Development
1308,59,25,Life Sciences,4,Male,1,Research Scientist,Divorced,Research & Development
1309,33,9,Life Sciences,2,Male,2,Laboratory Technician,Married,Research & Development
1310,40,25,Medical,3,Male,1,Research Scientist,Single,Research & Development
1311,31,8,Technical Degree,3,Female,2,Laboratory Technician,Married,Research & Development
1312,37,12,Technical Degree,4,Female,3,Healthcare Representative,Married,Research & Development
1314,47,3,Life Sciences,2,Female,1,Human Resources,Single,Human Resources
1315,29,3,Life Sciences,3,Female,2,Laboratory Technician,Married,Research & Development
1317,51,30,Life Sciences,3,Female,4,Research Director,Married,Research & Development
1318,41,27,Marketing,4,Male,3,Sales Executive,Single,Sales
1319,53,7,Life Sciences,3,Male,3,Sales Executive,Single,Sales
1321,31,19,Medical,4,Female,3,Manager,Married,Research & Development
1322,40,20,Life Sciences,2,Male,2,Manufacturing Director,Single,Research & Development
1324,32,4,Life Sciences,4,Female,3,Sales Executive,Divorced,Sales
1329,42,12,Medical,2,Male,2,Sales Executive,Single,Sales
1331,32,3,Life Sciences,3,Female,1,Sales Representative,Single,Sales
1333,45,5,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
1334,43,4,Life Sciences,1,Male,4,Manager,Married,Research & Development
1336,56,4,Medical,2,Female,5,Manager,Married,Research & Development
1338,57,10,Life Sciences,4,Male,5,Manager,Single,Human Resources
1340,41,18,Life Sciences,2,Male,1,Research Scientist,Divorced,Research & Development
1344,35,11,Life Sciences,3,Male,3,Healthcare Representative,Divorced,Research & Development
1346,41,4,Life Sciences,3,Male,2,Research Scientist,Single,Research & Development
1349,42,3,Marketing,3,Female,2,Sales Executive,Divorced,Sales
1350,36,6,Life Sciences,4,Male,2,Research Scientist,Single,Research & Development
1352,52,7,Life Sciences,3,Male,4,Manager,Divorced,Human Resources
1355,39,4,Life Sciences,2,Female,2,Sales Executive,Divorced,Sales
1356,35,17,Medical,2,Female,2,Sales Executive,Single,Sales
1358,26,21,Medical,1,Male,1,Laboratory Technician,Married,Research & Development
1360,59,9,Medical,4,Female,3,Manufacturing Director,Married,Research & Development
1361,41,3,Life Sciences,4,Male,1,Laboratory Technician,Married,Research & Development
1362,37,9,Marketing,3,Female,2,Sales Executive,Married,Sales
1363,49,6,Life Sciences,3,Male,3,Manufacturing Director,Single,Research & Development
1364,28,13,Medical,3,Female,1,Sales Representative,Married,Sales
1367,52,13,Technical Degree,2,Female,4,Manufacturing Director,Single,Research & Development
1368,19,3,Life Sciences,3,Female,1,Laboratory Technician,Single,Research & Development
1369,36,3,Medical,3,Female,2,Laboratory Technician,Married,Research & Development
1371,28,4,Life Sciences,1,Male,2,Sales Executive,Single,Sales
1372,56,15,Marketing,4,Male,4,Sales Executive,Single,Sales
1373,57,25,Life Sciences,3,Male,4,Manufacturing Director,Married,Research & Development
1374,35,28,Technical Degree,1,Female,1,Research Scientist,Divorced,Research & Development
1375,41,4,Medical,1,Female,2,Healthcare Representative,Divorced,Research & Development
1377,35,31,Medical,3,Male,2,Laboratory Technician,Married,Research & Development
1379,32,4,Life Sciences,3,Female,1,Sales Representative,Single,Sales
1380,36,20,Marketing,4,Female,2,Sales Executive,Married,Sales
1382,39,9,Life Sciences,3,Male,1,Research Scientist,Divorced,Research & Development
1383,35,4,Technical Degree,4,Female,2,Healthcare Representative,Single,Research & Development
1387,29,28,Life Sciences,3,Male,2,Sales Executive,Married,Sales
1389,32,24,Medical,4,Male,2,Manufacturing Director,Married,Research & Development
1390,40,23,Life Sciences,4,Male,2,Sales Executive,Married,Sales
1391,52,4,Marketing,3,Male,3,Sales Executive,Married,Sales
1392,42,24,Life Sciences,3,Female,2,Research Scientist,Divorced,Research & Development
1394,38,6,Life Sciences,1,Male,1,Research Scientist,Married,Research & Development
1395,34,7,Life Sciences,1,Male,2,Sales Executive,Married,Sales
1396,33,4,Marketing,1,Male,2,Sales Executive,Married,Sales
1397,40,27,Life Sciences,2,Male,3,Healthcare Representative,Married,Research & Development
1399,26,20,Life Sciences,1,Male,2,Sales Executive,Married,Sales
1401,53,30,Medical,2,Female,4,Manufacturing Director,Married,Research & Development
1402,44,8,Medical,3,Female,2,Research Scientist,Single,Research & Development
1403,28,12,Marketing,3,Female,2,Sales Executive,Married,Sales
1405,28,19,Life Sciences,4,Female,1,Research Scientist,Single,Research & Development
1407,27,4,Medical,1,Male,1,Research Scientist,Single,Research & Development
1408,43,12,Human Resources,3,Female,4,Manager,Married,Human Resources
1409,53,10,Other,4,Female,1,Laboratory Technician,Married,Research & Development
1411,38,13,Medical,3,Female,1,Laboratory Technician,Single,Research & Development
1412,36,20,Life Sciences,2,Male,3,Manufacturing Director,Single,Research & Development
1415,26,3,Technical Degree,3,Male,1,Laboratory Technician,Married,Research & Development
1417,27,9,Other,3,Male,1,Laboratory Technician,Single,Research & Development
1419,30,19,Other,3,Male,3,Human Resources,Single,Human Resources
1420,50,30,Life Sciences,2,Male,2,Laboratory Technician,Single,Research & Development
1421,30,16,Other,1,Female,3,Healthcare Representative,Single,Research & Development
1422,55,3,Medical,3,Female,4,Research Director,Single,Research & Development
1423,59,3,Medical,3,Female,5,Research Director,Married,Research & Development
1424,56,3,Medical,4,Male,4,Research Director,Divorced,Research & Development
1425,37,5,Marketing,4,Female,2,Sales Executive,Single,Sales
1427,32,3,Life Sciences,4,Female,1,Sales Representative,Single,Sales
1428,31,9,Marketing,4,Female,2,Sales Executive,Divorced,Sales
1430,32,10,Life Sciences,5,Female,4,Research Director,Single,Research & Development
1431,35,3,Other,4,Male,1,Research Scientist,Divorced,Research & Development
1433,32,10,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
1434,28,13,Life Sciences,1,Male,1,Laboratory Technician,Married,Research & Development
1435,37,6,Life Sciences,4,Male,2,Laboratory Technician,Single,Research & Development
1436,37,18,Marketing,4,Female,2,Sales Executive,Married,Sales
1438,48,3,Technical Degree,3,Male,1,Research Scientist,Married,Research & Development
1439,26,11,Life Sciences,2,Male,1,Sales Representative,Married,Sales
1440,38,7,Technical Degree,2,Male,1,Laboratory Technician,Single,Research & Development
1441,57,3,Life Sciences,2,Female,1,Research Scientist,Married,Research & Development
1443,48,4,Medical,4,Female,4,Research Director,Married,Research & Development
1445,25,6,Medical,1,Female,2,Sales Executive,Married,Sales
1446,33,9,Marketing,5,Male,2,Sales Executive,Married,Sales
1447,35,3,Life Sciences,3,Female,1,Laboratory Technician,Married,Research & Development
1448,42,7,Medical,5,Male,1,Research Scientist,Married,Research & Development
1449,41,11,Other,4,Male,2,Laboratory Technician,Divorced,Research & Development
1453,32,10,Life Sciences,2,Male,3,Sales Executive,Divorced,Sales
1457,47,11,Marketing,3,Male,3,Sales Executive,Divorced,Sales
1458,40,4,Life Sciences,3,Female,1,Laboratory Technician,Single,Research & Development
1459,32,3,Life Sciences,5,Female,3,Manufacturing Director,Single,Research & Development
1460,46,22,Medical,3,Male,3,Healthcare Representative,Divorced,Research & Development
1461,32,10,Medical,2,Female,1,Human Resources,Single,Human Resources
1464,32,4,Life Sciences,3,Male,1,Laboratory Technician,Married,Research & Development
1465,46,31,Technical Degree,3,Male,3,Manufacturing Director,Married,Research & Development
1466,49,9,Marketing,3,Male,2,Sales Executive,Divorced,Sales
1467,35,11,Technical Degree,4,Female,1,Human Resources,Married,Human Resources
1468,41,10,Medical,1,Male,3,Research Director,Divorced,Research & Development
1469,29,7,Medical,3,Male,2,Sales Executive,Single,Sales
1471,45,7,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
1472,54,4,Medical,3,Male,4,Research Director,Single,Research & Development
1473,50,7,Technical Degree,4,Male,2,Healthcare Representative,Married,Research & Development
1474,41,4,Medical,3,Male,1,Research Scientist,Divorced,Research & Development
1475,45,22,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
1477,34,9,Medical,3,Male,2,Sales Executive,Married,Sales
1478,35,5,Other,3,Male,2,Sales Executive,Single,Sales
1479,31,18,Life Sciences,1,Male,2,Sales Executive,Married,Sales
1480,43,11,Medical,2,Female,1,Laboratory Technician,Single,Research & Development
1481,45,3,Marketing,5,Female,2,Sales Executive,Married,Sales
1482,31,9,Technical Degree,3,Male,1,Research Scientist,Divorced,Research & Development
1483,58,3,Life Sciences,2,Male,2,Research Scientist,Married,Research & Development
1484,50,9,Life Sciences,4,Male,3,Healthcare Representative,Divorced,Research & Development
1485,35,17,Medical,3,Male,4,Research Director,Divorced,Research & Development
1486,29,3,Technical Degree,3,Male,1,Sales Representative,Married,Sales
1487,30,15,Technical Degree,3,Female,2,Sales Executive,Single,Sales
1489,35,26,Medical,4,Female,2,Sales Executive,Single,Sales
1492,36,9,Life Sciences,1,Male,1,Sales Representative,Married,Sales
1494,25,11,Medical,3,Male,1,Laboratory Technician,Single,Research & Development
1495,25,15,Life Sciences,2,Female,1,Sales Representative,Married,Sales
1496,45,4,Medical,1,Male,3,Manufacturing Director,Single,Research & Development
1497,30,21,Life Sciences,3,Male,2,Sales Executive,Divorced,Sales
1499,31,3,Life Sciences,3,Male,1,Human Resources,Divorced,Human Resources
1501,56,6,Life Sciences,4,Male,2,Healthcare Representative,Married,Research & Development
1502,34,6,Medical,4,Female,1,Laboratory Technician,Married,Research & Development
1503,48,16,Medical,3,Female,2,Sales Executive,Married,Sales
1504,29,4,Medical,2,Male,1,Laboratory Technician,Single,Research & Development
1506,29,3,Life Sciences,3,Male,1,Research Scientist,Divorced,Research & Development
1507,29,9,Life Sciences,3,Male,2,Sales Executive,Single,Sales
1509,50,5,Medical,2,Female,2,Laboratory Technician,Married,Research & Development
1513,30,4,Life Sciences,1,Female,1,Laboratory Technician,Married,Research & Development
1514,29,31,Life Sciences,1,Male,2,Manufacturing Director,Married,Research & Development
1515,34,10,Life Sciences,5,Male,2,Healthcare Representative,Single,Research & Development
1516,33,12,Medical,3,Male,3,Manager,Single,Research & Development
1520,55,13,Medical,4,Female,4,Manager,Divorced,Research & Development
1522,30,3,Technical Degree,4,Male,1,Research Scientist,Single,Research & Development
1523,45,30,Life Sciences,3,Male,4,Research Director,Married,Research & Development
1525,40,8,Life Sciences,3,Female,3,Manufacturing Director,Single,Research & Development
1527,47,5,Life Sciences,3,Female,4,Manager,Married,Sales
1529,36,18,Life Sciences,3,Female,3,Healthcare Representative,Single,Research & Development
1533,24,22,Life Sciences,1,Male,2,Laboratory Technician,Single,Research & Development
1534,41,11,Life Sciences,4,Male,1,Laboratory Technician,Single,Research & Development
1535,35,3,Technical Degree,3,Male,3,Sales Executive,Married,Sales
1537,32,5,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
1539,51,24,Medical,5,Male,4,Research Director,Single,Research & Development
1541,35,9,Technical Degree,2,Male,1,Sales Representative,Married,Sales
1542,43,4,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
1543,38,15,Medical,3,Male,2,Research Scientist,Married,Research & Development
1544,30,10,Other,1,Female,2,Healthcare Representative,Married,Research & Development
1545,34,27,Life Sciences,3,Male,2,Manufacturing Director,Single,Research & Development
1546,46,30,Technical Degree,3,Male,1,Research Scientist,Married,Research & Development
1547,43,4,Life Sciences,3,Male,3,Healthcare Representative,Married,Research & Development
1548,41,11,Medical,2,Male,2,Sales Executive,Married,Sales
1549,34,30,Life Sciences,4,Male,2,Laboratory Technician,Married,Research & Development
1550,41,8,Medical,2,Male,4,Manager,Single,Human Resources
1551,25,23,Technical Degree,2,Male,1,Laboratory Technician,Divorced,Research & Development
1552,41,10,Life Sciences,2,Male,2,Healthcare Representative,Divorced,Research & Development
1553,46,3,Technical Degree,4,Male,3,Healthcare Representative,Divorced,Research & Development
1554,36,30,Life Sciences,4,Female,1,Sales Representative,Married,Sales
1555,33,7,Life Sciences,2,Female,2,Research Scientist,Married,Research & Development
1556,37,4,Life Sciences,4,Male,1,Sales Representative,Single,Sales
1557,49,18,Life Sciences,4,Female,2,Sales Executive,Divorced,Sales
1558,30,11,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
1560,34,10,Life Sciences,4,Male,2,Sales Executive,Married,Sales
1562,31,3,Life Sciences,3,Male,2,Sales Executive,Married,Sales
1563,39,12,Human Resources,4,Male,2,Human Resources,Married,Human Resources
1564,36,3,Medical,3,Male,1,Laboratory Technician,Single,Research & Development
1568,31,31,Technical Degree,4,Male,3,Sales Executive,Married,Sales
1569,36,4,Life Sciences,3,Female,1,Laboratory Technician,Divorced,Research & Development
1572,54,4,Technical Degree,5,Female,3,Manufacturing Director,Married,Research & Development
1573,39,4,Medical,3,Male,2,Manufacturing Director,Married,Research & Development
1574,33,3,Technical Degree,4,Male,2,Research Scientist,Married,Research & Development
1576,49,17,Other,4,Female,1,Research Scientist,Married,Research & Development
1577,35,9,Medical,4,Male,1,Research Scientist,Single,Research & Development
1578,56,28,Marketing,5,Male,5,Manager,Married,Sales
1580,35,3,Life Sciences,4,Male,2,Research Scientist,Married,Research & Development
1581,27,5,Life Sciences,3,Female,1,Research Scientist,Married,Research & Development
1582,39,16,Life Sciences,3,Male,2,Sales Executive,Married,Sales
1583,39,18,Life Sciences,3,Female,2,Sales Executive,Single,Sales
1585,37,3,Life Sciences,4,Female,2,Sales Executive,Single,Sales
1586,30,5,Medical,1,Male,1,Laboratory Technician,Single,Research & Development
1587,36,12,Medical,4,Female,2,Healthcare Representative,Single,Research & Development
1588,40,8,Medical,3,Male,3,Sales Executive,Married,Sales
1590,30,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,Research & Development
1591,51,11,Marketing,3,Male,5,Manager,Married,Sales
1592,24,12,Technical Degree,3,Male,1,Research Scientist,Married,Research & Development
1594,37,8,Life Sciences,4,Male,2,Laboratory Technician,Married,Research & Development
1595,43,11,Other,2,Male,5,Manager,Single,Research & Development
1596,36,30,Life Sciences,3,Male,2,Laboratory Technician,Married,Research & Development
1597,35,12,Technical Degree,4,Male,2,Healthcare Representative,Married,Research & Development
1598,41,16,Life Sciences,2,Female,2,Sales Executive,Married,Sales
1599,44,29,Technical Degree,3,Male,1,Laboratory Technician,Divorced,Research & Development
1601,36,9,Life Sciences,2,Male,1,Laboratory Technician,Married,Research & Development
1602,47,3,Life Sciences,4,Male,4,Manager,Single,Sales
1604,29,26,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
1605,23,28,Other,2,Female,1,Research Scientist,Married,Research & Development
1606,51,22,Medical,5,Male,4,Healthcare Representative,Married,Research & Development
1607,33,7,Other,4,Female,1,Research Scientist,Married,Research & Development
1608,45,9,Medical,3,Female,5,Research Director,Divorced,Research & Development
1609,31,9,Medical,3,Male,1,Research Scientist,Married,Research & Development
1611,46,7,Medical,5,Female,2,Laboratory Technician,Single,Research & Development
1612,46,28,Marketing,3,Male,2,Sales Executive,Married,Sales
1613,32,4,Other,4,Male,2,Sales Executive,Single,Sales
1614,37,14,Life Sciences,4,Female,2,Manufacturing Director,Married,Research & Development
1615,35,12,Life Sciences,4,Male,2,Manufacturing Director,Divorced,Research & Development
1617,50,27,Life Sciences,4,Female,1,Laboratory Technician,Married,Research & Development
1618,40,12,Medical,5,Male,2,Manufacturing Director,Married,Research & Development
1619,28,21,Other,3,Male,1,Laboratory Technician,Divorced,Research & Development
1621,36,20,Life Sciences,5,Male,2,Research Scientist,Married,Research & Development
1622,29,29,Medical,3,Female,2,Manufacturing Director,Divorced,Research & Development
1623,22,7,Medical,1,Male,1,Research Scientist,Single,Research & Development
1624,19,5,Medical,2,Female,1,Sales Representative,Single,Sales
1625,48,28,Life Sciences,4,Female,5,Manager,Married,Human Resources
1627,40,5,Medical,2,Male,2,Laboratory Technician,Divorced,Research & Development
1628,41,17,Life Sciences,3,Female,3,Manufacturing Director,Married,Research & Development
1630,36,10,Life Sciences,4,Female,2,Healthcare Representative,Married,Research & Development
1631,38,21,Life Sciences,3,Male,2,Manufacturing Director,Married,Research & Development
1633,40,6,Medical,3,Female,2,Manufacturing Director,Single,Research & Development
1635,46,4,Other,2,Female,2,Manufacturing Director,Divorced,Research & Development
1638,39,4,Medical,2,Female,3,Manufacturing Director,Married,Research & Development
1639,36,12,Medical,3,Male,3,Sales Executive,Married,Sales
1640,38,12,Medical,3,Female,1,Research Scientist,Married,Research & Development
1641,41,18,Life Sciences,3,Female,3,Manufacturing Director,Single,Research & Development
1642,45,3,Human Resources,5,Male,2,Human Resources,Married,Human Resources
1644,49,6,Medical,5,Male,4,Manager,Married,Research & Development
1645,36,17,Medical,2,Male,2,Sales Executive,Divorced,Sales
1646,25,4,Technical Degree,1,Female,1,Research Scientist,Single,Research & Development
1647,28,10,Medical,3,Female,1,Research Scientist,Married,Research & Development
1648,28,4,Medical,3,Male,1,Research Scientist,Single,Research & Development
1649,41,9,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
1650,30,12,Medical,3,Male,2,Sales Executive,Single,Sales
1651,37,7,Life Sciences,4,Female,3,Healthcare Representative,Married,Research & Development
1653,26,4,Life Sciences,1,Male,2,Manufacturing Director,Divorced,Research & Development
1654,40,14,Medical,3,Male,2,Manufacturing Director,Married,Research & Development
1655,50,24,Other,4,Female,4,Research Director,Married,Research & Development
1656,51,19,Life Sciences,5,Female,3,Research Director,Divorced,Research & Development
1657,21,4,Medical,3,Female,1,Sales Representative,Single,Sales
1658,35,5,Life Sciences,3,Female,2,Research Scientist,Divorced,Research & Development
1659,37,9,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
1661,50,8,Life Sciences,1,Female,4,Healthcare Representative,Married,Research & Development
1662,37,3,Medical,4,Female,2,Manufacturing Director,Married,Research & Development
1664,37,5,Life Sciences,2,Male,2,Healthcare Representative,Divorced,Research & Development
1665,55,24,Medical,5,Female,4,Manager,Married,Research & Development
